symbol,dt,open,high,low,close,volume,amount,pre_close,limit_up,limit_down,suspended,data_status,source,updated_at
510500.SH,2025-11-27T15:00:00+08:00,7.065,7.154,7.04,7.05,188542552.0,1336051339.0,7.065,7.772,6.358,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-28T15:00:00+08:00,7.048,7.144,7.042,7.135,177333175.0,1261276658.0,7.05,7.755,6.345,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-01T15:00:00+08:00,7.152,7.203,7.138,7.202,132006252.0,947876608.0,7.135,7.849,6.422,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-02T15:00:00+08:00,7.154,7.188,7.123,7.141,150369654.0,1074387564.0,7.202,7.922,6.482,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-03T15:00:00+08:00,7.145,7.17,7.078,7.103,121324035.00000001,863508465.0,7.141,7.855,6.427,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-04T15:00:00+08:00,7.1,7.15,7.06,7.125,122371097.0,870260060.0,7.103,7.813,6.393,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-05T15:00:00+08:00,7.122,7.219,7.067,7.216,308526062.0,2213924727.0,7.125,7.838,6.413,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-08T15:00:00+08:00,7.238,7.305,7.229,7.278,282808073.0,2054506100.0,7.216,7.938,6.494,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-09T15:00:00+08:00,7.256,7.29,7.211,7.224,192435582.0,1394969264.0,7.278,8.006,6.55,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-10T15:00:00+08:00,7.225,7.28,7.172,7.263,259557831.99999997,1873005152.0,7.224,7.946,6.502,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-11T15:00:00+08:00,7.275,7.284,7.196,7.201,186138398.0,1345376424.0,7.263,7.989,6.537,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-12T15:00:00+08:00,7.217,7.304,7.184,7.285,375528482.0,2722781871.0,7.201,7.921,6.481,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-15T15:00:00+08:00,7.25,7.299,7.229,7.236,174785848.0,1268422736.0,7.285,8.014,6.557,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-16T15:00:00+08:00,7.22,7.22,7.076,7.126,262901354.99999997,1872497207.0,7.236,7.96,6.512,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-17T15:00:00+08:00,7.12,7.287,7.1,7.259,299634364.0,2160363134.0,7.126,7.839,6.413,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-18T15:00:00+08:00,7.225,7.295,7.219,7.221,251490100.99999997,1822548851.0,7.259,7.985,6.533,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-19T15:00:00+08:00,7.238,7.318,7.231,7.286,250967197.00000003,1828863612.0,7.221,7.943,6.499,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-22T15:00:00+08:00,7.32,7.397,7.32,7.368,281747461.0,2076899450.0,7.286,8.015,6.557,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-23T15:00:00+08:00,7.364,7.417,7.349,7.374,185059492.0,1365041842.0,7.368,8.105,6.631,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-24T15:00:00+08:00,7.373,7.492,7.363,7.47,350367349.0,2611273083.0,7.374,8.111,6.637,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-25T15:00:00+08:00,7.469,7.555,7.452,7.534,286961619.0,2156582982.0,7.47,8.217,6.723,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-26T15:00:00+08:00,7.544,7.616,7.527,7.58,514730074.0,3901186668.0,7.534,8.287,6.781,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-29T15:00:00+08:00,7.579,7.61,7.531,7.548,337804049.0,2558823434.0,7.58,8.338,6.822,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-30T15:00:00+08:00,7.512,7.625,7.512,7.581,241477936.0,1831385067.0,7.548,8.303,6.793,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-12-31T15:00:00+08:00,7.597,7.611,7.551,7.588,446353437.0,3386683953.0,7.581,8.339,6.823,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-05T15:00:00+08:00,7.642,7.794,7.64,7.792,276371421.0,2138958695.0,7.588,8.347,6.829,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-06T15:00:00+08:00,7.797,7.965,7.797,7.961,356076687.0,2807704686.0,7.792,8.571,7.013,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-07T15:00:00+08:00,7.969,8.04,7.954,7.999,431586803.0,3451839908.0,7.961,8.757,7.165,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-08T15:00:00+08:00,7.974,8.078,7.972,8.024,382231061.0,3069650528.0,7.999,8.799,7.199,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-09T15:00:00+08:00,8.024,8.223,8.023,8.216,525203526.99999994,4288318244.0,8.024,8.826,7.222,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-12T15:00:00+08:00,8.27,8.448,8.235,8.416,571519856.0,4767071138.0,8.216,9.038,7.394,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-13T15:00:00+08:00,8.437,8.44,8.259,8.306,524033983.0,4365589918.0,8.416,9.258,7.574,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-14T15:00:00+08:00,8.308,8.536,8.25,8.365,1349076212.0,11344083331.0,8.306,9.137,7.475,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-15T15:00:00+08:00,8.3,8.39,8.265,8.339,3167300455.0,26329578450.0,8.365,9.202,7.528,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-16T15:00:00+08:00,8.318,8.353,8.24,8.295,2050754961.0,16986109617.0,8.339,9.173,7.505,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-19T15:00:00+08:00,8.27,8.397,8.25,8.348,1521585687.0,12700273169.0,8.295,9.125,7.466,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-20T15:00:00+08:00,8.356,8.414,8.201,8.324,1614255882.0,13377848571.0,8.348,9.183,7.513,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-21T15:00:00+08:00,8.282,8.435,8.28,8.432,1034094111.9999999,8682017708.0,8.324,9.156,7.492,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-22T15:00:00+08:00,8.46,8.496,8.404,8.469,480856886.00000006,4059456186.0,8.432,9.275,7.589,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-23T15:00:00+08:00,8.505,8.725,8.493,8.719,669345592.0,5772176393.0,8.469,9.316,7.622,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-26T15:00:00+08:00,8.763,8.787,8.517,8.564,1666726482.0,14330394662.0,8.719,9.591,7.847,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-27T15:00:00+08:00,8.542,8.67,8.437,8.619,1474651264.0,12638904531.0,8.564,9.42,7.708,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-28T15:00:00+08:00,8.645,8.72,8.595,8.691,2517446639.0,21752591587.0,8.619,9.481,7.757,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-29T15:00:00+08:00,8.661,8.754,8.574,8.591,1373467695.0,11884876163.0,8.691,9.56,7.822,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-01-30T15:00:00+08:00,8.518,8.594,8.232,8.44,1283877745.0,10756242145.0,8.591,9.45,7.732,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-02-02T15:00:00+08:00,8.33,8.4,8.045,8.049,1947386932.9999998,15911074106.0,8.44,9.284,7.596,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-02-03T15:00:00+08:00,8.186,8.375,8.132,8.366,936602177.9999999,7761030186.0,8.049,8.854,7.244,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2026-02-04T15:00:00+08:00,8.36,8.395,8.249,8.388,1228797031.0,10230284572.0,8.366,9.203,7.529,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
