trade_id,order_id,strategy_id,account_id,symbol,side,qty,price,commission,dt,broker_order_id,broker_trade_id
T-145,O-145,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,11800.0,7.364,21.72,2025-12-23T15:00:00+08:00,,
T-146,O-146,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,11800.0,8.241,24.31,2026-03-04T15:00:00+08:00,,
T-147,O-147,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,20500.0,4.64,23.78,2026-03-06T15:00:00+08:00,,
T-148,O-148,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,20500.0,4.672,23.94,2026-03-13T15:00:00+08:00,,
T-149,O-149,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,11600.0,8.265,23.97,2026-03-17T15:00:00+08:00,,
T-150,O-150,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,11600.0,8.11,23.52,2026-03-18T15:00:00+08:00,,
T-151,O-151,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,11500.0,8.04,23.11,2026-03-19T15:00:00+08:00,,
T-152,O-152,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,11500.0,7.96,22.89,2026-03-20T15:00:00+08:00,,
T-153,O-153,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,19800.0,4.732,23.42,2026-04-15T15:00:00+08:00,,
T-154,O-154,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,19800.0,4.764,23.58,2026-04-21T15:00:00+08:00,,
T-155,O-155,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,11100.0,8.46,23.48,2026-04-23T15:00:00+08:00,,
T-156,O-156,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,11100.0,8.434,23.4,2026-06-01T15:00:00+08:00,,
T-157,O-157,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,19000.0,4.938,23.46,2026-06-03T15:00:00+08:00,,
T-158,O-158,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,19000.0,4.764,22.63,2026-06-09T15:00:00+08:00,,
T-159,O-159,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,18800.0,4.79,22.51,2026-06-10T15:00:00+08:00,,
T-160,O-160,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,18800.0,4.929,23.17,2026-06-24T15:00:00+08:00,,
T-161,O-161,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,10200.0,9.006,22.97,2026-06-26T15:00:00+08:00,,
