symbol,ex_date,factor
510500.SH,2024-03-21,0.9567411679884643
510500.SH,2024-03-22,0.9560841720036596
510500.SH,2024-03-25,0.9554234769687964
510500.SH,2024-03-26,0.9552238805970149
510500.SH,2024-03-27,0.9541634835752484
510500.SH,2024-03-28,0.9547425985291345
510500.SH,2024-03-29,0.955315583690188
510500.SH,2024-04-01,0.9562363238512035
510500.SH,2024-04-02,0.9560600512632736
510500.SH,2024-04-03,0.9560359040117239
510500.SH,2024-04-08,0.955382041271612
510500.SH,2024-04-09,0.9557522123893805
510500.SH,2024-04-10,0.9552322327923896
510500.SH,2024-04-11,0.9554400297066469
510500.SH,2024-04-12,0.9551988053014747
510500.SH,2024-04-15,0.9557848194546794
510500.SH,2024-04-16,0.9545454545454545
510500.SH,2024-04-17,0.9557277255118981
510500.SH,2024-04-18,0.9558092432332903
510500.SH,2024-04-19,0.9555061179087875
510500.SH,2024-04-22,0.9551318003365115
510500.SH,2024-04-23,0.9546056364668053
510500.SH,2024-04-24,0.9551318003365115
510500.SH,2024-04-25,0.9550645946451974
510500.SH,2024-04-26,0.9560520051272661
510500.SH,2024-04-29,0.95688880905335
510500.SH,2024-04-30,0.956592512208356
510500.SH,2024-05-06,0.95724973281083
510500.SH,2024-05-07,0.9572421165152325
510500.SH,2024-05-08,0.956694334175388
510500.SH,2024-05-09,0.9574694311536417
510500.SH,2024-05-10,0.9573181575671349
510500.SH,2024-05-13,0.9570968895244905
510500.SH,2024-05-14,0.9570508231925554
510500.SH,2024-05-15,0.956670879220076
510500.SH,2024-05-16,0.9564665336477417
510500.SH,2024-05-17,0.972202034883721
510500.SH,2024-05-20,0.9723026792179581
510500.SH,2024-05-21,0.9721006564551423
510500.SH,2024-05-22,0.9720700985761227
510500.SH,2024-05-23,0.971577187441947
510500.SH,2024-05-24,0.9712999437253798
510500.SH,2024-05-27,0.971577187441947
510500.SH,2024-05-28,0.971326836581709
510500.SH,2024-05-29,0.9713858238264447
510500.SH,2024-05-30,0.971326836581709
510500.SH,2024-05-31,0.9713214620431116
510500.SH,2024-06-03,0.971099357763506
510500.SH,2024-06-04,0.9714818266542403
510500.SH,2024-06-05,0.9711701526286036
